,l,k,n,Authors space,Accuracy,Author combination
0,1,0,1,2,98.44,"('7', '8')"
1,1,0,1,2,94.05,"('7', '9')"
2,1,0,1,2,89.15,"('7', '10')"
3,1,0,1,2,86.52,"('7', '11')"
4,1,0,1,2,88.94,"('7', '12')"
5,1,0,1,2,87.18,"('7', '13')"
6,1,0,1,2,95.27,"('7', '14')"
7,1,0,1,2,89.64,"('7', '15')"
8,1,0,1,2,82.51,"('7', '16')"
9,1,0,1,2,87.3,"('7', '17')"
10,1,0,1,2,83.74,"('7', '18')"
11,1,0,1,2,94.51,"('7', '19')"
12,1,0,1,2,97.16,"('7', '20')"
13,1,0,1,2,92.59,"('7', '21')"
14,1,0,1,2,92.84,"('7', '22')"
15,1,0,1,2,90.46,"('7', '23')"
16,1,0,1,2,81.55,"('7', '24')"
17,1,0,1,2,89.59,"('7', '25')"
18,1,0,1,2,93.67,"('7', '26')"
19,1,0,1,2,99.76,"('7', '27')"
20,1,0,1,2,98.78,"('7', '28')"
21,1,0,1,2,90.71,"('7', '29')"
22,1,0,1,2,87.6,"('7', '30')"
23,1,0,1,2,90.71,"('8', '9')"
24,1,0,1,2,84.72,"('8', '10')"
25,1,0,1,2,89.24,"('8', '11')"
26,1,0,1,2,83.27,"('8', '12')"
27,1,0,1,2,93.05,"('8', '13')"
28,1,0,1,2,89.73,"('8', '14')"
29,1,0,1,2,89.86,"('8', '15')"
30,1,0,1,2,93.22,"('8', '16')"
31,1,0,1,2,94.91,"('8', '17')"
32,1,0,1,2,94.18,"('8', '18')"
33,1,0,1,2,97.46,"('8', '19')"
34,1,0,1,2,94.11,"('8', '20')"
35,1,0,1,2,90.82,"('8', '21')"
36,1,0,1,2,95.38,"('8', '22')"
37,1,0,1,2,97.65,"('8', '23')"
38,1,0,1,2,92.1,"('8', '24')"
39,1,0,1,2,96.02,"('8', '25')"
40,1,0,1,2,98.28,"('8', '26')"
41,1,0,1,2,90.79,"('8', '27')"
42,1,0,1,2,94.7,"('8', '28')"
43,1,0,1,2,94.15,"('8', '29')"
44,1,0,1,2,96.3,"('8', '30')"
45,1,0,1,2,94.63,"('9', '10')"
46,1,0,1,2,91.77,"('9', '11')"
47,1,0,1,2,98.5,"('9', '12')"
48,1,0,1,2,94.39,"('9', '13')"
49,1,0,1,2,93.42,"('9', '14')"
50,1,0,1,2,94.97,"('9', '15')"
51,1,0,1,2,89.04,"('9', '16')"
52,1,0,1,2,95.07,"('9', '17')"
53,1,0,1,2,97.48,"('9', '18')"
54,1,0,1,2,94.32,"('9', '19')"
55,1,0,1,2,95.05,"('9', '20')"
56,1,0,1,2,96.92,"('9', '21')"
57,1,0,1,2,89.53,"('9', '22')"
58,1,0,1,2,92.15,"('9', '23')"
59,1,0,1,2,88.32,"('9', '24')"
60,1,0,1,2,89.3,"('9', '25')"
61,1,0,1,2,95.43,"('9', '26')"
62,1,0,1,2,85.97,"('9', '27')"
63,1,0,1,2,87.09,"('9', '28')"
64,1,0,1,2,93.33,"('9', '29')"
65,1,0,1,2,90.88,"('9', '30')"
66,1,0,1,2,90.43,"('10', '11')"
67,1,0,1,2,94.32,"('10', '12')"
68,1,0,1,2,78.58,"('10', '13')"
69,1,0,1,2,87.64,"('10', '14')"
70,1,0,1,2,93.48,"('10', '15')"
71,1,0,1,2,89.65,"('10', '16')"
72,1,0,1,2,89.39,"('10', '17')"
73,1,0,1,2,89.08,"('10', '18')"
74,1,0,1,2,99.81,"('10', '19')"
75,1,0,1,2,96.86,"('10', '20')"
76,1,0,1,2,83.87,"('10', '21')"
77,1,0,1,2,90.78,"('10', '22')"
78,1,0,1,2,81.74,"('10', '23')"
79,1,0,1,2,93.94,"('10', '24')"
80,1,0,1,2,94.8,"('10', '25')"
81,1,0,1,2,90.6,"('10', '26')"
82,1,0,1,2,92.3,"('10', '27')"
83,1,0,1,2,89.43,"('10', '28')"
84,1,0,1,2,87.98,"('10', '29')"
85,1,0,1,2,80.55,"('10', '30')"
86,1,0,1,2,89.15,"('11', '12')"
87,1,0,1,2,94.8,"('11', '13')"
88,1,0,1,2,84.58,"('11', '14')"
89,1,0,1,2,82.94,"('11', '15')"
90,1,0,1,2,90.8,"('11', '16')"
91,1,0,1,2,85.22,"('11', '17')"
92,1,0,1,2,88.12,"('11', '18')"
93,1,0,1,2,92.28,"('11', '19')"
94,1,0,1,2,86.2,"('11', '20')"
95,1,0,1,2,90.3,"('11', '21')"
96,1,0,1,2,82.28,"('11', '22')"
97,1,0,1,2,83.23,"('11', '23')"
98,1,0,1,2,87.81,"('11', '24')"
99,1,0,1,2,81.94,"('11', '25')"
100,1,0,1,2,98.02,"('11', '26')"
101,1,0,1,2,92.7,"('11', '27')"
102,1,0,1,2,74.31,"('11', '28')"
103,1,0,1,2,86.18,"('11', '29')"
104,1,0,1,2,81.34,"('11', '30')"
105,1,0,1,2,84.69,"('12', '13')"
106,1,0,1,2,90.18,"('12', '14')"
107,1,0,1,2,86.05,"('12', '15')"
108,1,0,1,2,91.67,"('12', '16')"
109,1,0,1,2,90.45,"('12', '17')"
110,1,0,1,2,87.48,"('12', '18')"
111,1,0,1,2,79.41,"('12', '19')"
112,1,0,1,2,95.1,"('12', '20')"
113,1,0,1,2,84.76,"('12', '21')"
114,1,0,1,2,82.64,"('12', '22')"
115,1,0,1,2,87.27,"('12', '23')"
116,1,0,1,2,76.4,"('12', '24')"
117,1,0,1,2,92.43,"('12', '25')"
118,1,0,1,2,95.25,"('12', '26')"
119,1,0,1,2,87.97,"('12', '27')"
120,1,0,1,2,91.94,"('12', '28')"
121,1,0,1,2,84.22,"('12', '29')"
122,1,0,1,2,71.23,"('12', '30')"
123,1,0,1,2,80.43,"('13', '14')"
124,1,0,1,2,91.69,"('13', '15')"
125,1,0,1,2,98.73,"('13', '16')"
126,1,0,1,2,98.39,"('13', '17')"
127,1,0,1,2,84.09,"('13', '18')"
128,1,0,1,2,81.81,"('13', '19')"
129,1,0,1,2,87.63,"('13', '20')"
130,1,0,1,2,73.69,"('13', '21')"
131,1,0,1,2,85.11,"('13', '22')"
132,1,0,1,2,78.13,"('13', '23')"
133,1,0,1,2,90.26,"('13', '24')"
134,1,0,1,2,85.75,"('13', '25')"
135,1,0,1,2,87.71,"('13', '26')"
136,1,0,1,2,90.89,"('13', '27')"
137,1,0,1,2,82.46,"('13', '28')"
138,1,0,1,2,80.45,"('13', '29')"
139,1,0,1,2,87.94,"('13', '30')"
140,1,0,1,2,85.78,"('14', '15')"
141,1,0,1,2,87.55,"('14', '16')"
142,1,0,1,2,95.09,"('14', '17')"
143,1,0,1,2,83.48,"('14', '18')"
144,1,0,1,2,87.44,"('14', '19')"
145,1,0,1,2,88.13,"('14', '20')"
146,1,0,1,2,82.97,"('14', '21')"
147,1,0,1,2,88.28,"('14', '22')"
148,1,0,1,2,89.45,"('14', '23')"
149,1,0,1,2,99.6,"('14', '24')"
150,1,0,1,2,95.65,"('14', '25')"
151,1,0,1,2,85.18,"('14', '26')"
152,1,0,1,2,83.32,"('14', '27')"
153,1,0,1,2,83.27,"('14', '28')"
154,1,0,1,2,89.59,"('14', '29')"
155,1,0,1,2,88.83,"('14', '30')"
156,1,0,1,2,86.26,"('15', '16')"
157,1,0,1,2,91.24,"('15', '17')"
158,1,0,1,2,86.89,"('15', '18')"
